vhash,dport,packet_size,n_src,n_dst
81051bcc2cf1bedf378224b0a93e2877,4782,42,11,359
14d02514753a2b0df8de8e72459d5d59,8080,298,1,1
8857be42f829c57c3c7e77b8c88c7c4a,4911,557,1,1
462bef6542f79534305c4bd704d0d2c4,27017,98,8,17
f3bb97895ed0b4f5cc43e3b2bae17bf1,1521,129,10,48
6d883fa902225b157a2a41fd5dac9ebf,10243,298,1,1
62eb5b2f5b7e9c4d41247dd15ef3444b,9000,78,1,1
8e51867e2bbe8465d3e818d14c7ba8f1,3780,557,1,1
47f648d5f4f156308239e48702d11599,5007,81,10,54
55ea8047610b19749dc41a60f72e0791,9000,557,1,1
ddd415685b3dfdb60cedccf3d004135a,9000,557,1,1
c0e87fc8292867faf44e1974e175ee19,62078,340,10,64
6afc55b73d42ed5b29e4b44e775d0da0,502,48,10,107
2e9089d1bf3c6f9704105208d7b940cf,7779,298,1,1
888c045f81fb73c7c7653bd52b24b272,9000,79,1,1
9103247425fa22dcbd3b4015edd93bea,50070,299,1,1
384edd78a70d390ade26dbffeda77898,2375,298,1,1
38456e8f0b12ac9e963c7fe2e9b5ae07,8081,557,1,1
4cd8b743a22969eac998fcd309dc23f7,2480,298,1,1
401e86b1f163020b0d235fb818166e7d,2375,298,1,1
41c92b028af5c425665974601558deed,7415,161,1,205
395e69ca175318cf7d59c51d8dc3e904,1025,49,10,50
fe5bf6ded03c3d9dabd3e537748f7535,8080,298,1,1
be659e43ec13479112ee83a53be24ab3,8081,79,4,1
0bd3d130f3cb9e46c4727ac9a706404e,80,213,1,231
0785523b705b541907e89b183b0e827f,5601,297,1,1
75f451c8ed5df0ce3a01743e20cf6a41,9151,56,10,109
b5aeb30424a0dc1a61ec8c4e01fdc666,7779,298,1,1
c13efebc6c9c17766dfef9e2f26977d9,6666,240,10,59
beb5fa850aa6ac0d45da02d7a6e9cdc5,2222,68,10,63
2e5d15aa013f61e95bab308d37457d92,3389,76,10,128
c6cd04f97c7df00eff87425931a3a627,5560,297,1,1
5a729be8882c9062f49a518ad461e9a6,8181,557,1,1
40933c45ad0c5f08a06e17d671a4915c,8181,79,1,1
f06e1742749944c1cd51aed74fde6a27,6379,54,10,56
e3c4dd21a9171fd39d208efa09bf7883,18245,96,10,54
f442025bb3efae02323938ac0073d81d,2480,298,1,1
d810495ad7a6a91dba15a0ea0516aa7e,993,557,1,1
986d865e7d1a200fb89a5f7f96848759,8834,557,1,1
c90392ad30ab30c7859f11db073ab11b,10554,97,1,1
d8061c286b1e46ad7593187071e187e8,10000,557,1,1
fd9569dd414ebd3cf028767222441941,8834,79,2,1
7b175b6980bfc9571916535b30fff76d,10000,79,1,1
f5b1c55836ab83281c880ce7140bcea0,8443,557,1,1
ac5de612de62ec6e492f639267b44f47,8443,79,1,1
d1b7ed98d464ca3273f4d713913dca82,5555,297,1,1
4e21ce4f702c8d24084390e660971c9d,9981,297,1,1
dfa735b1b04c595c76343fd3540a98d8,44818,64,10,56
4a5ae1be50879a555550bd41e0555fbc,13579,299,1,1
b8347e105de8b7bb11ca0e518f0e1e08,4730,49,10,46
0bd3d130f3cb9e46c4727ac9a706404e,443,213,1,231
653b95ed8ab7aa491801db6c2a07e893,175,73,10,58
3af6051d92c0ae983449c52b9399767d,2081,42,10,60
393ab6bb2627b64d5cca62c712bfd329,1099,47,10,71
c0a5588ae75587ebcbbfc3ac2621bb4c,8000,298,1,1
0923b38c0f35fa2c6f5d8b2d3ed5602c,465,557,1,1
3266ee0bb705d2460609f610f12e2f22,50070,298,1,1
f970039a853c5f5148ad4edda399a200,6001,52,10,121
012a055e73cacefea33df0dec0c8ea7d,111,84,10,50
2be14d6d677086261d6ad3f14e26d12e,10000,557,1,1
d2100731e8cc214bf4a1a1c75d8f6b17,10000,79,1,1
06f3b61367767392de762abb2cdcc45a,9080,298,1,1
0fa6d92aaa60c295a5659e33e7ad65b0,8069,298,1,1
348a9791dc41b89796ec3808b5b5262f,3460,296,11,174
c74987220d5dbefacbc4bd6b55204083,195,59,10,105
9f573dba536c1602ac113b42a0cecfa1,7779,298,1,1
50b78a4bf4c0ca73dc18ccb65c482b9c,1883,79,1,1
3199d3cc52f291d93f9786c4b6f27658,9595,297,1,1
a3b18acff23ec5fe46d66c2c9e0e2d22,25105,299,1,1
0ee61731e55a95a7e8c1611fccad7b52,27015,58,1,1
71f37d298fa71209805e1754e106eed6,631,297,1,1
dd0af12e5d70efd65827e1a78e7c9713,10554,97,1,1
7db3732ad9e47054a40979aca87f8963,11211,47,10,115
0d91ec0cc4ee67f6ff55fa4c53ba4bd8,7071,557,1,1
fa395979580971d4b45c62fb4bad22c3,7071,78,1,1
41c92b028af5c425665974601558deed,10134,161,1,205
485fce84c14ebef1fb345fdebe2cb255,1177,157,11,297
ac4bd39253b85235cd7658ea8d2d6e83,8069,298,1,1
bea33c63772975faf21db517b40761a6,4157,176,11,367
a18c35e211f25684b6b9feb5f4163cbf,2480,297,1,1
3f53efd770ee0ee07992b2527afcff4d,3749,298,1,1
